Index,Form,Tense,Voice,Predicate,V POS,Head Word,Head Word POS,Phrase type,Path,Relative Position,Target
35,g,-,-,using,VBG,in,IN,PP-LOC-CLR,VBG1VP0PP-LOC-CLR0,1,ARGM-LOC
36,p,p,p,reported,VBN,preliminary,JJ,NP-SBJ-2,VBN1VP1VP1S0NP-SBJ-20,0,ARG1
37,p,p,p,reported,VBN,more,RBR,ADVP-TMP,VBN1VP0ADVP-TMP0,1,ARGM-TMP
38,v,n,a,appear,VBP,Although,IN,SBAR-ADV,VBP1VP1S0SBAR-ADV0,0,ARGM-ADV
39,v,n,a,appear,VBP,the,DT,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG1
40,v,n,a,appear,VBP,in,IN,PP-LOC,VBP1VP0PP-LOC0,1,ARGM-LOC
41,i,-,a,bring,VB,the,DT,NP-SBJ,VB1VP1VP1S1ADJP1NP1NP1PP-LOC1VP1S0NP-SBJ0,0,ARG0
42,i,-,a,bring,VB,new,JJ,NP,VB1VP0NP0,1,ARG1
43,i,-,a,bring,VB,to,TO,PP-DIR,VB1VP0PP-DIR0,1,ARG2-to
44,v,p,a,said,VBD,A,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
45,v,p,a,said,VBD,This,DT,S,VBD1VP0S0,1,ARG1
46,p,n,a,talking,VBG,We,PRP,NP-SBJ,VBG1VP1VP1S0NP-SBJ0,0,ARG0
47,p,n,a,talking,VBG,about,IN,PP-CLR,VBG1VP0PP-CLR0,1,ARG1-about
48,v,p,a,heard,VBD,anyone,NN,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
49,v,p,a,heard,VBD,of,IN,PP-CLR,VBD1VP0PP-CLR0,1,ARG1-of
50,p,-,a,having,VBG,asbestos,NN,NP-SBJ,VBG1VP1S-NOM0NP-SBJ0,0,ARG0
51,p,-,a,having,VBG,any,DT,NP,VBG1VP0NP0,1,ARG1
52,v,p,a,studied,VBD,the,DT,NP,VBD1VP1S1SBAR1NP0NP0,0,ARG0
53,v,p,a,studied,VBD,the,DT,NP,VBD1VP0NP0,1,ARG1
54,v,n,a,have,VBP,We,PRP,NP-SBJ,VBP1VP1S-TPC-10NP-SBJ0,0,ARG0
55,v,n,a,have,VBP,no,DT,NP,VBP1VP0NP0,1,ARG1
56,v,p,a,said,VBD,We,PRP,S-TPC-1,VBD1VP1SINV0S-TPC-10,0,ARG1
57,v,p,a,said,VBD,James,NNP,NP-SBJ,VBD1VP1SINV0NP-SBJ0,1,ARG0
58,v,p,a,led,VBD,Dr.,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
59,v,p,a,led,VBD,a,DT,NP,VBD1VP0NP0,1,ARG1
60,v,p,a,said,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
61,v,p,a,said,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1,ARG1
62,p,p,p,used,VBN,asbestos,NN,NP-SBJ-1,VBN1VP1VP1VP1S0NP-SBJ-10,0,ARG1
63,p,p,p,used,VBN,in,IN,PP-CLR,VBN1VP0PP-CLR0,1,ARGM-MNR
64,p,p,p,used,VBN,in,IN,PP-LOC,VBN1VP0PP-LOC0,1,ARG2-in
65,p,p,p,used,VBN,in,IN,PP-TMP,VBN1VP0PP-TMP0,1,ARGM-TMP
66,g,-,-,making,VBG,*,-NONE-,NP-SBJ,VBG1VP1S-NOM0NP-SBJ0,0,ARG0
67,g,-,-,making,VBG,paper,NN,NP,VBG1VP0NP0,1,ARG1
68,p,p,p,replaced,VBN,asbestos,NN,NP-SBJ-1,VBN1VP1VP1VP1S0NP-SBJ-10,0,ARG1
69,p,p,p,replaced,VBN,with,IN,PP,VBN1VP0PP0,1,ARG2-with
70,p,p,p,replaced,VBN,in,IN,PP-TMP,VBN1VP0PP-TMP0,1,ARGM-TMP
71,p,p,p,sold,VBN,9.8,CD,NP-SBJ-3,VBN1VP1VP1S-TPC-10NP-SBJ-30,0,ARG1
72,v,p,a,said,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
73,v,p,a,said,VBD,From,IN,S-TPC-1,VBD1VP1S0S-TPC-10,0,ARG1
74,v,p,a,worked,VBD,33,CD,NP,VBD1VP1S1SBAR1NP0NP0,0,ARG0
75,v,p,a,worked,VBD,closely,RB,ADVP-MNR,VBD1VP0ADVP-MNR0,1,ARGM-MNR
76,v,p,a,worked,VBD,with,IN,PP-CLR,VBD1VP0PP-CLR0,1,ARG1-with
77,p,n,a,died,VBN,Among,IN,PP-LOC,VBN1VP1VP1S0PP-LOC0,0,ARGM-LOC
78,p,n,a,died,VBN,28,CD,NP-SBJ,VBN1VP1VP1S0NP-SBJ0,0,ARG1
79,p,-,p,expected,VBN,number,NN,NN,VBN1NP-10NN0,1,ARG1
80,p,-,a,surviving,VBG,workers,NNS,NNS,VBG1NP0NNS0,1,ARG0
81,v,n,a,have,VBP,Four,CD,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG0
82,v,n,a,have,VBP,asbestos-related,JJ,NP,VBP1VP0NP0,1,ARG1
83,v,n,a,have,VBP,including,VBG,PP,VBP1VP0PP0,1,ARGM-ADV
84,p,-,a,including,VBG,asbestos-related,JJ,NP,VBG1PP1VP0NP0,0,ARG2
85,p,-,a,including,VBG,three,CD,NP,VBG1PP0NP0,1,ARG1
86,p,-,p,diagnosed,VBN,recently,RB,RB,VBN1ADJP0RB0,0,ARGM-TMP
87,p,-,p,diagnosed,VBN,cancer,NN,NN,VBN1ADJP1NP0NN0,1,ARG2
88,p,-,p,expected,VBN,*,-NONE-,NP-SBJ,VBN1VP1S0NP-SBJ0,0,ARG0
89,p,-,p,expected,VBN,*?*,-NONE-,S,VBN1VP0S0,1,ARG1
90,v,p,a,said,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
91,v,p,a,said,VBD,The,DT,S-TPC-1,VBD1VP1S0S-TPC-10,0,ARG1
92,v,n,a,study,VBP,those,DT,NP,VBP1VP1S1SBAR1NP0NP0,0,ARG0
93,v,n,a,study,VBP,asbestos-related,JJ,NP,VBP1VP0NP0,1,ARG1
94,v,p,a,said,VBD,The,DT,S-TPC-1,VBD1VP1SINV0S-TPC-10,0,ARG1
95,v,p,a,said,VBD,Dr.,NNP,NP-SBJ,VBD1VP1SINV0NP-SBJ0,1,ARG0
96,v,n,a,appears,VBZ,The,DT,NP-SBJ-1,VBZ1VP1S-TPC-20NP-SBJ-10,0,ARG1
97,p,-,p,studied,VBN,any,DT,NP,VBN1VP1RRC1NP0NP0,0,ARG1
98,p,-,p,studied,VBN,in,IN,PP-LOC,VBN1VP0PP-LOC0,1,ARGM-LOC
99,p,-,p,industrialized,VBN,countries,NNS,NNS,VBN1NP0NNS0,1,ARG1
100,v,p,a,said,VBD,he,PRP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
101,v,p,a,said,VBD,The,DT,S-TPC-2,VBD1VP1S0S-TPC-20,0,ARG1
102,p,n,p,owned,VBN,The,DT,NP,VBN1VP1VP1S1SBAR1NP-SBJ0NP0,0,ARG1
103,p,n,p,owned,VBN,by,IN,PP,VBN1VP0PP0,1,ARG0-by
104,i,-,a,make,VB,The,DT,NP-SBJ,VB1VP1VP1S-21NP1PP-LOC-PRD1VP1S0NP-SBJ0,0,ARG0
105,i,-,a,make,VB,the,DT,NP,VB1VP0NP0,1,ARG1
106,v,f,a,support,VB,The,DT,NP-SBJ,VB1VP1VP1S-TPC-10NP-SBJ0,0,ARG0
107,v,f,a,support,VB,probably,RB,ADVP,VB1VP1VP1S-TPC-10ADVP0,0,ARGM-ADV
108,v,f,a,support,VB,will,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
109,v,f,a,support,VB,those,DT,NP,VB1VP0NP0,1,ARG1
110,v,n,a,argue,VBP,those,DT,NP,VBP1VP1S1SBAR1NP0NP0,0,ARG0
111,v,n,a,argue,VBP,that,IN,SBAR,VBP1VP0SBAR0,1,ARG1
112,-,-,a,regulate,VB,the,DT,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG0
113,-,-,a,regulate,VB,should,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
114,-,-,a,regulate,VB,the,DT,NP,VB1VP0NP0,1,ARG1
115,-,-,a,regulate,VB,more,RBR,ADVP-MNR,VB1VP0ADVP-MNR0,1,ARGM-MNR
116,p,-,a,including,VBG,the,DT,NP,VBG1PP1NP0NP0,0,ARG2
117,p,-,a,including,VBG,crocidolite,NN,NP,VBG1PP0NP0,1,ARG1
118,p,-,p,found,VBN,the,DT,NP,VBN1VP1NP0NP0,0,ARG1
119,p,-,p,found,VBN,in,IN,PP-LOC-CLR,VBN1VP0PP-LOC-CLR0,1,ARGM-LOC
120,v,p,a,said,VBD,Dr.,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
121,v,p,a,said,VBD,The,DT,S-TPC-1,VBD1VP1S0S-TPC-10,0,ARG1
122,p,-,p,industrialized,VBN,nations,NNS,NNS,VBN1NP0NNS0,1,ARG1
123,v,n,a,have,VB,the,DT,NP,VB1VP1VP1S1SBAR1NP0NP0,0,ARG0
124,v,n,a,have,VB,n't,RB,RB,VB1VP1VP0RB0,0,ARGM-NEG
125,v,n,a,have,VB,a,DT,NP,VB1VP0NP0,1,ARG1
126,p,n,p,classified,VBN,the,DT,NP,VBN1VP1VP1S1SBAR1NP0NP0,0,ARG1
127,p,n,p,classified,VBN,as,IN,PP-CLR,VBN1VP0PP-CLR0,1,ARG2-as
128,p,n,p,rejected,VBN,more,RBR,ADVP-MNR,VBN1VP0ADVP-MNR0,0,ARGM-MNR
129,p,n,p,rejected,VBN,More,RBR,NP-SBJ-1,VBN1VP1VP1VP1S-TPC-20NP-SBJ-10,0,ARG1
130,p,n,p,rejected,VBN,by,IN,PP,VBN1VP0PP0,1,ARG0-by
131,v,p,a,explained,VBD,Dr.,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
132,v,p,a,explained,VBD,More,RBR,S-TPC-2,VBD1VP1S0S-TPC-20,0,ARG1
133,v,p,a,imposed,VBD,In,IN,PP-TMP,VBD1VP1S0PP-TMP0,0,ARGM-TMP
134,v,p,a,imposed,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
135,v,p,a,imposed,VBD,a,DT,NP,VBD1VP0NP0,1,ARG1
136,v,p,a,imposed,VBD,on,IN,PP-CLR,VBD1VP0PP-CLR0,1,ARG2-on
137,p,-,a,remaining,VBG,uses,NNS,NNS,VBG1NP0NNS0,1,ARG1
138,p,f,p,outlawed,VBN,By,IN,PP-TMP,VBN1VP1VP1VP1S0PP-TMP0,0,ARGM-TMP
139,p,f,p,outlawed,VBN,will,MD,MD,VBN1VP1VP1VP0MD0,0,ARGM-MOD
140,p,f,p,outlawed,VBN,almost,RB,NP-SBJ-6,VBN1VP1VP1VP1S0NP-SBJ-60,0,ARG1
141,v,p,a,made,VBD,a,DT,NP,VBD1VP1S1SBAR1NP0NP0,0,ARG0
142,v,p,a,made,VBD,paper,NN,NP,VBD1VP0NP0,1,ARG1
143,p,p,p,exposed,VBN,About,IN,NP-SBJ-7,VBN1VP1VP1S0NP-SBJ-70,0,ARG1
144,p,p,p,exposed,VBN,to,TO,PP-DIR,VBN1VP0PP-DIR0,1,ARG2-to
145,p,p,p,exposed,VBN,in,IN,PP-TMP,VBN1VP0PP-TMP0,1,ARGM-TMP
146,p,p,p,used,VBN,the,DT,NP-SBJ-8,VBN1VP1VP1S0NP-SBJ-80,0,ARG1
147,p,p,p,used,VBN,where,WRB,WHADVP-1,VBN1VP1VP1S1SBAR-20WHADVP-10,0,ARGM-LOC
148,v,p,a,dumped,VBD,Workers,NNS,NP-SBJ,VBD1VP1VP1S0NP-SBJ0,0,ARG0
149,v,p,a,dumped,VBD,large,JJ,NP,VBD1VP0NP0,1,ARG1
150,v,p,a,dumped,VBD,into,IN,PP-DIR,VBD1VP0PP-DIR0,1,ARGM-DIR
151,p,-,p,imported,VBN,material,NN,NN,VBN1NP0NN0,1,ARG1
152,v,p,a,poured,VBD,Workers,NNS,NP-SBJ,VBD1VP1VP1S0NP-SBJ0,0,ARG0
153,v,p,a,poured,VBD,cotton,NN,NP,VBD1VP0NP0,1,ARG1
154,v,p,a,mixed,VBD,Workers,NNS,NP-SBJ,VBD1VP1VP1VP1S0NP-SBJ0,0,ARG0
155,v,p,a,mixed,VBD,mechanically,RB,ADVP-MNR,VBD1VP0ADVP-MNR0,0,ARGM-MNR
156,v,p,a,mixed,VBD,the,DT,NP,VBD1VP0NP0,1,ARG1
157,v,p,a,mixed,VBD,in,IN,PP-LOC,VBD1VP0PP-LOC0,1,ARGM-LOC
158,p,-,p,used,VBN,a,DT,NP,VBN1VP1RRC1NP0NP0,0,ARG1
159,p,-,p,used,VBN,*,-NONE-,S-CLR,VBN1VP0S-CLR0,1,ARG2-PNC
160,i,-,a,make,VB,*,-NONE-,-NONE-,VB1VP1VP1S-CLR0NP-SBJ0-NONE-0,0,ARG0
161,i,-,a,make,VB,filters,NNS,NP,VB1VP0NP0,1,ARG1
162,v,p,a,described,VBD,Workers,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
163,v,p,a,described,VBD,``,``,NP,VBD1VP0NP0,1,ARG1
164,v,p,a,hung,VBD,clouds,NNS,NP,VBD1VP1S1SBAR1NP0NP0,0,ARG1
165,v,p,a,hung,VBD,over,IN,PP-LOC,VBD1VP0PP-LOC0,1,ARGM-LOC
166,v,p,a,hung,VBD,even,RB,SBAR-ADV,VBD1VP0SBAR-ADV0,1,ARGM-ADV
167,v,p,a,ventilated,VBD,exhaust,NN,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
168,v,p,a,ventilated,VBD,the,DT,NP,VBD1VP0NP0,1,ARG1
169,v,p,a,contracted,VBD,some,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
170,v,p,a,contracted,VBD,asbestos-related,JJ,NP,VBD1VP0NP0,1,ARG2
171,v,p,a,said,VBD,There,EX,S-TPC-1,VBD1VP1SINV0S-TPC-10,0,ARG1
172,v,p,a,said,VBD,Darrell,NNP,NP-SBJ,VBD1VP1SINV0NP-SBJ0,1,ARG0
173,v,n,a,have,VBP,But,CC,CC,VBP1VP1S0CC0,0,ARGM-DIS
174,i,-,a,recognize,VB,have,VBP,VBP,VB1VP1VP1S1VP0VBP0,0,ARGM-MOD
175,i,-,a,recognize,VB,you,PRP,NP-SBJ-1,VB1VP1VP1S1VP1S0NP-SBJ-10,0,ARG0
176,i,-,a,recognize,VB,these,DT,S,VB1VP0SBAR0S0,1,ARG1
177,v,p,a,took,VBD,these,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
178,v,p,a,took,VBD,place,NN,NP,VBD1VP0NP0,1,ARG2
179,v,p,a,took,VBD,35,CD,ADVP-TMP,VBD1VP0ADVP-TMP0,1,ARGM-TMP
180,v,n,a,has,VBZ,It,PRP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0,ARG0
181,v,n,a,has,VBZ,no,DT,NP,VBZ1VP0NP0,1,ARG1
182,v,p,a,continued,VBD,Yields,NNS,NP-SBJ-1,VBD1VP1S0NP-SBJ-10,0,ARG1
183,v,p,a,continued,VBD,amid,IN,PP-LOC,VBD1VP0PP-LOC0,1,ARGM-MNR
184,i,-,a,slide,VB,Yields,NNS,NP-SBJ-1,VB1VP1VP1S1VP1S0NP-SBJ-10,0,ARG1
185,v,n,a,expect,VBP,portfolio,NN,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG0
186,v,n,a,expect,VBP,further,JJ,NP,VBP1VP0NP0,1,ARG1
187,p,-,p,tracked,VBN,the,DT,NP,VBN1VP1NP0NP0,0,ARG1
188,p,-,p,tracked,VBN,by,IN,PP,VBN1VP0PP0,1,ARG0-by
189,v,p,a,eased,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
190,v,p,a,eased,VBD,a,DT,NP-ADV,VBD1VP0NP-ADV0,1,ARG2-EXT
191,v,p,a,eased,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
192,v,p,a,eased,VBD,from,IN,PP-DIR,VBD1VP0PP-DIR0,1,ARG3-from
193,v,p,a,eased,VBD,for,IN,PP-TMP,VBD1VP0PP-TMP0,1,ARGM-TMP
194,p,-,p,ended,VBD,the,DT,NP,VBD1VP1NP0NP0,0,ARG1
195,p,-,p,ended,VBD,Tuesday,NNP,NP-TMP,VBD1VP0NP-TMP0,1,ARGM-TMP
196,v,n,a,assume,VBP,Compound,NN,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG0
197,v,n,a,assume,VBP,reinvestment,NN,UCP,VBP1VP0UCP0,1,ARG1
198,v,n,a,continues,VBZ,the,DT,NP-SBJ,VBZ1VP1S0NP-SBJ0,0,ARG1
199,v,n,a,continues,VBZ,for,IN,PP-TMP,VBZ1VP0PP-TMP0,1,ARGM-TMP
200,v,p,a,lengthened,VBD,Average,JJ,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
201,v,p,a,lengthened,VBD,by,IN,PP-EXT,VBD1VP0PP-EXT0,1,ARG2-by
202,v,p,a,lengthened,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
203,p,n,p,thought,VBN,Longer,JJR,NP-SBJ-1,VBN1VP1VP1S0NP-SBJ-10,0,ARG1
204,i,-,a,indicate,VB,Longer,JJR,NP-SBJ-1,VB1VP1VP1S1VP1VP1S0NP-SBJ-10,0,ARG0
205,i,-,a,indicate,VB,declining,VBG,NP,VB1VP0NP0,1,ARG1
206,i,-,a,indicate,VB,because,IN,SBAR-PRP,VB1VP0SBAR-PRP0,1,ARGM-CAU
207,p,-,a,declining,VBG,interest,NN,NN,VBG1NP0NN0,1,ARG1
208,v,n,a,permit,VBP,they,PRP,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG0
209,v,n,a,permit,VBP,portfolio,NN,S,VBP1VP0S0,1,ARG1
210,i,-,a,retain,VB,portfolio,NN,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG0
211,i,-,a,retain,VB,relatively,RB,NP,VB1VP0NP0,1,ARG1
212,i,-,a,retain,VB,for,IN,PP-TMP,VB1VP0PP-TMP0,1,ARGM-TMP
213,p,n,p,considered,VBN,Shorter,JJR,NP-SBJ-9,VBN1VP1VP1S0NP-SBJ-90,0,ARG1
214,p,n,p,considered,VBN,*-9,-NONE-,S,VBN1VP0S0,1,ARG2
215,p,n,p,considered,VBN,because,IN,SBAR-PRP,VBN1VP0SBAR-PRP0,1,ARGM-CAU
216,p,-,a,rising,VBG,rates,NNS,NNS,VBG1NP0NNS0,1,ARG1
217,-,-,a,capture,VB,portfolio,NN,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG0
218,-,-,a,capture,VB,can,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
219,-,-,a,capture,VB,higher,JJR,NP,VB1VP0NP0,1,ARG1
220,-,-,a,capture,VB,sooner,RB,ADVP-TMP,VB1VP0ADVP-TMP0,1,ARGM-TMP
221,p,-,p,considered,VBN,The,DT,NP,VBN1VP1RRC1NP-SBJ0NP0,0,ARG1
222,p,-,p,considered,VBN,by,IN,PP,VBN1VP0PP0,1,ARG0-by
223,p,-,p,considered,VBN,*,-NONE-,S,VBN1VP0S0,1,ARG2
224,v,n,a,watch,VBP,those,DT,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG0
225,v,n,a,watch,VBP,the,DT,NP,VBP1VP0NP0,1,ARG1
226,v,n,a,watch,VBP,closely,RB,ADVP-MNR,VBP1VP0ADVP-MNR0,1,ARGM-MNR
227,v,p,a,reached,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
228,v,p,a,reached,VBD,a,DT,NP,VBD1VP0NP0,1,ARG1
229,v,p,a,said,VBD,Nevertheless,RB,ADVP,VBD1VP1SINV1PRN1S-10ADVP0,0,ARG1
230,v,p,a,said,VBD,Brenda,NNP,NP-SBJ,VBD1VP1SINV0NP-SBJ0,1,ARG0
231,p,-,p,sold,VBN,six-month,JJ,NP,VBN1VP1NP0NP0,0,ARG1
232,p,-,p,sold,VBN,at,IN,PP-LOC,VBN1VP0PP-LOC0,1,ARGM-LOC
233,v,p,a,rose,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
234,v,p,a,rose,VBD,for,IN,PP,VBD1VP1S0PP0,0,ARGM-DIS
235,v,p,a,rose,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
236,v,p,a,rose,VBD,from,IN,PP-DIR,VBD1VP0PP-DIR0,1,ARG3-from
237,v,n,a,continue,VBP,Despite,IN,PP,VBP1VP1S0PP0,0,ARGM-ADV
238,v,n,a,continue,VBP,investors,NNS,NP-SBJ-1,VBP1VP1S0NP-SBJ-10,0,ARG1
239,i,-,a,pour,VB,investors,NNS,NP-SBJ-1,VB1VP1VP1S1VP1S0NP-SBJ-10,0,ARG0
240,i,-,a,pour,VB,cash,NN,NP,VB1VP0NP0,1,ARG1
241,i,-,a,pour,VB,into,IN,PP-DIR,VB1VP0PP-DIR0,1,ARG3-into
242,v,p,a,grew,VBD,Assets,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
243,v,p,a,grew,VBD,by,IN,PP-EXT,VBD1VP0PP-EXT0,1,ARG2-by
244,v,p,a,grew,VBD,during,IN,PP-TMP,VBD1VP0PP-TMP0,1,ARGM-TMP
245,v,p,a,grew,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
246,v,n,a,beat,VBP,Typically,RB,ADVP,VBP1VP1S0ADVP0,0,ARGM-TMP
247,v,n,a,beat,VBP,money-fund,NN,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG0
248,v,n,a,beat,VBP,comparable,JJ,NP,VBP1VP0NP0,1,ARG1
249,v,n,a,beat,VBP,because,IN,SBAR-PRP,VBP1VP0SBAR-PRP0,1,ARGM-CAU
250,-,-,a,vary,VB,portfolio,NN,NP-SBJ,VB1VP1VP1VP1S0NP-SBJ0,0,ARG0
251,-,-,a,vary,VB,can,MD,MD,VB1VP1VP1VP0MD0,0,ARGM-MOD
252,-,-,a,vary,VB,maturities,NNS,NP,VB1VP0NP0,1,ARG1
253,-,-,a,go,VB,portfolio,NN,NP-SBJ,VB1VP1VP1VP1S0NP-SBJ0,0,ARG0
254,-,-,a,go,VB,can,MD,MD,VB1VP1VP1VP0MD0,0,ARGM-MOD
255,-,-,a,go,VB,after,IN,PP-CLR,VB1VP0PP-CLR0,1,ARG1-after
256,p,-,a,yielding,VBG,The,DT,NP-SBJ,VBG1VP1VP1S0NP-SBJ0,0,ARG0
257,p,-,a,yielding,VBG,currently,RB,ADVP-TMP,VBG1VP1VP0ADVP-TMP0,0,ARGM-TMP
258,p,-,a,yielding,VBG,well,RB,NP,VBG1VP0NP0,1,ARG1
259,v,p,a,had,VBD,Dreyfus,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
260,v,p,a,had,VBD,a,DT,NP,VBD1VP0NP0,1,ARG1
261,v,p,a,had,VBD,during,IN,PP-TMP,VBD1VP0PP-TMP0,1,ARGM-TMP
262,v,p,a,had,VBD,down,RB,ADVP,VBD1VP0ADVP0,1,ARGM-ADV
263,v,n,a,invests,VBZ,It,PRP,NP-SBJ,VBZ1VP1VP1S0NP-SBJ0,0,ARG0
264,v,n,a,invests,VBZ,heavily,RB,ADVP-MNR,VBZ1VP0ADVP-MNR0,1,ARGM-MNR
265,v,n,a,invests,VBZ,in,IN,PP-CLR,VBZ1VP0PP-CLR0,1,ARG2-in
266,v,n,a,invests,VBZ,overseas,RB,ADVP-LOC,VBZ1VP0ADVP-LOC0,1,ARGM-LOC
