Index,Roleset,Form,Tense,Voice,Predicate,V POS,Head Word,Head Word POS,Phrase type,Path,Relative Position
24,show.02,v,n,a,show,VBP,symptoms,NNS,NP,VBP1VP1S1SBAR1NP0NP0,0
25,show.02,v,n,a,show,VBP,decades,NNS,ADVP-TMP,VBP1VP0ADVP-TMP0,1
26,say.01,v,p,a,said,VBD,researchers,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0
27,say.01,v,p,a,said,VBD,The,DT,S-TPC-2,VBD1VP1S0S-TPC-20,0
28,make.01,v,n,a,makes,VBZ,Kent,NNP,NP,VBZ1VP0NP0,1
29,make.01,v,n,a,makes,VBZ,the,DT,NP,VBZ1VP1S1SBAR1NP0NP0,0
30,stop.01,v,p,a,stopped,VBD,Lorillard,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0
31,stop.01,v,p,a,stopped,VBD,using,VBG,VBG,VBD1VP0VP0VBG0,1
32,stop.01,v,p,a,stopped,VBD,in,IN,PP-TMP,VBD1VP0VP0PP-TMP0,1
33,use.01,g,0,0,using,VBG,Lorillard,NNP,NP-SBJ,VBG1VP1VP1S0NP-SBJ0,0
37,report.01,p,p,p,reported,VBN,more,RBR,ADVP-TMP,VBN1VP0ADVP-TMP0,1
38,appear.01,v,n,a,appear,VBP,Although,IN,SBAR-ADV,VBP1VP1S0SBAR-ADV0,0
39,appear.01,v,n,a,appear,VBP,the,DT,NP-SBJ,VBP1VP1S0NP-SBJ0,0
41,bring.01,i,0,a,bring,VB,the,DT,NP-SBJ,VB1VP1VP1S1ADJP1NP1NP1PP-LOC1VP1S0NP-SBJ0,0
42,bring.01,i,0,a,bring,VB,new,JJ,NP,VB1VP0NP0,1
43,bring.01,i,0,a,bring,VB,to,TO,PP-DIR,VB1VP0PP-DIR0,1
44,say.01,v,p,a,said,VBD,A,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0
45,say.01,v,p,a,said,VBD,This,DT,S,VBD1VP0S0,1
46,talk.01,p,n,a,talking,VBG,We,PRP,NP-SBJ,VBG1VP1VP1S0NP-SBJ0,0
47,talk.01,p,n,a,talking,VBG,about,IN,PP-CLR,VBG1VP0PP-CLR0,1
48,hear.01,v,p,a,heard,VBD,anyone,NN,NP-SBJ,VBD1VP1S0NP-SBJ0,0
49,hear.01,v,p,a,heard,VBD,of,IN,PP-CLR,VBD1VP0PP-CLR0,1
50,have.03,p,0,a,having,VBG,asbestos,NN,NP-SBJ,VBG1VP1S-NOM0NP-SBJ0,0
52,study.01,v,p,a,studied,VBD,the,DT,NP,VBD1VP1S1SBAR1NP0NP0,0
53,study.01,v,p,a,studied,VBD,the,DT,NP,VBD1VP0NP0,1
54,have.03,v,n,a,have,VBP,We,PRP,NP-SBJ,VBP1VP1S-TPC-10NP-SBJ0,0
55,have.03,v,n,a,have,VBP,no,DT,NP,VBP1VP0NP0,1
56,say.01,v,p,a,said,VBD,We,PRP,S-TPC-1,VBD1VP1SINV0S-TPC-10,0
57,say.01,v,p,a,said,VBD,James,NNP,NP-SBJ,VBD1VP1SINV0NP-SBJ0,1
59,lead.02,v,p,a,led,VBD,a,DT,NP,VBD1VP0NP0,1
61,say.01,v,p,a,said,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1
63,use.01,p,p,p,used,VBN,in,IN,PP-CLR,VBN1VP0PP-CLR0,1
64,use.01,p,p,p,used,VBN,in,IN,PP-LOC,VBN1VP0PP-LOC0,1
65,use.01,p,p,p,used,VBN,in,IN,PP-TMP,VBN1VP0PP-TMP0,1
67,make.01,g,0,0,making,VBG,paper,NN,NP,VBG1VP0NP0,1
68,replace.01,p,p,p,replaced,VBN,asbestos,NN,NP-SBJ-1,VBN1VP1VP1VP1S0NP-SBJ-10,0
69,replace.01,p,p,p,replaced,VBN,with,IN,PP,VBN1VP0PP0,1
71,sell.01,p,p,p,sold,VBN,9.8,CD,NP-SBJ-3,VBN1VP1VP1S-TPC-10NP-SBJ-30,0
72,say.01,v,p,a,said,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0
74,work.01,v,p,a,worked,VBD,33,CD,NP,VBD1VP1S1SBAR1NP0NP0,0
75,work.01,v,p,a,worked,VBD,closely,RB,ADVP-MNR,VBD1VP0ADVP-MNR0,1
76,work.01,v,p,a,worked,VBD,with,IN,PP-CLR,VBD1VP0PP-CLR0,1
77,die.01,p,n,a,died,VBN,Among,IN,PP-LOC,VBN1VP1VP1S0PP-LOC0,0
78,die.01,p,n,a,died,VBN,28,CD,NP-SBJ,VBN1VP1VP1S0NP-SBJ0,0
79,expect.01,p,0,p,expected,VBN,number,NN,NN,VBN1NP-10NN0,1
80,survive.01,p,0,a,surviving,VBG,workers,NNS,NNS,VBG1NP0NNS0,1
81,have.03,v,n,a,have,VBP,Four,CD,NP-SBJ,VBP1VP1S0NP-SBJ0,0
82,have.03,v,n,a,have,VBP,asbestos-related,JJ,NP,VBP1VP0NP0,1
83,have.03,v,n,a,have,VBP,including,VBG,PP,VBP1VP0PP0,1
84,include.01,p,0,a,including,VBG,asbestos-related,JJ,NP,VBG1PP1VP0NP0,0
85,include.01,p,0,a,including,VBG,three,CD,NP,VBG1PP0NP0,1
86,diagnose.01,p,0,p,diagnosed,VBN,recently,RB,RB,VBN1ADJP0RB0,0
87,diagnose.01,p,0,p,diagnosed,VBN,cancer,NN,NN,VBN1ADJP1NP0NN0,1
88,expect.01,p,0,p,expected,VBN,*,-NONE-,NP-SBJ,VBN1VP1S0NP-SBJ0,0
89,expect.01,p,0,p,expected,VBN,*?*,-NONE-,S,VBN1VP0S0,1
91,say.01,v,p,a,said,VBD,The,DT,S-TPC-1,VBD1VP1S0S-TPC-10,0
92,study.01,v,n,a,study,VBP,those,DT,NP,VBP1VP1S1SBAR1NP0NP0,0
93,study.01,v,n,a,study,VBP,asbestos-related,JJ,NP,VBP1VP0NP0,1
94,say.01,v,p,a,said,VBD,The,DT,S-TPC-1,VBD1VP1SINV0S-TPC-10,0
96,appear.02,v,n,a,appears,VBZ,The,DT,NP-SBJ-1,VBZ1VP1S-TPC-20NP-SBJ-10,0
97,study.01,p,0,p,studied,VBN,any,DT,NP,VBN1VP1RRC1NP0NP0,0
98,study.01,p,0,p,studied,VBN,in,IN,PP-LOC,VBN1VP0PP-LOC0,1
99,industrialize.01,p,0,p,industrialized,VBN,countries,NNS,NNS,VBN1NP0NNS0,1
100,say.01,v,p,a,said,VBD,he,PRP,NP-SBJ,VBD1VP1S0NP-SBJ0,0
101,say.01,v,p,a,said,VBD,The,DT,S-TPC-2,VBD1VP1S0S-TPC-20,0
102,own.01,p,n,p,owned,VBN,The,DT,NP,VBN1VP1VP1S1SBAR1NP-SBJ0NP0,0
103,own.01,p,n,p,owned,VBN,by,IN,PP,VBN1VP0PP0,1
105,make.01,i,0,a,make,VB,the,DT,NP,VB1VP0NP0,1
106,support.01,v,f,a,support,VB,The,DT,NP-SBJ,VB1VP1VP1S-TPC-10NP-SBJ0,0
107,support.01,v,f,a,support,VB,probably,RB,ADVP,VB1VP1VP1S-TPC-10ADVP0,0
109,support.01,v,f,a,support,VB,those,DT,NP,VB1VP0NP0,1
110,argue.01,v,n,a,argue,VBP,those,DT,NP,VBP1VP1S1SBAR1NP0NP0,0
111,argue.01,v,n,a,argue,VBP,that,IN,SBAR,VBP1VP0SBAR0,1
113,regulate.01,0,0,a,regulate,VB,should,MD,MD,VB1VP1VP0MD0,0
114,regulate.01,0,0,a,regulate,VB,the,DT,NP,VB1VP0NP0,1
115,regulate.01,0,0,a,regulate,VB,more,RBR,ADVP-MNR,VB1VP0ADVP-MNR0,1
116,include.01,p,0,a,including,VBG,the,DT,NP,VBG1PP1NP0NP0,0
117,include.01,p,0,a,including,VBG,crocidolite,NN,NP,VBG1PP0NP0,1
118,find.01,p,0,p,found,VBN,the,DT,NP,VBN1VP1NP0NP0,0
119,find.01,p,0,p,found,VBN,in,IN,PP-LOC-CLR,VBN1VP0PP-LOC-CLR0,1
120,say.01,v,p,a,said,VBD,Dr.,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0
121,say.01,v,p,a,said,VBD,The,DT,S-TPC-1,VBD1VP1S0S-TPC-10,0
122,industrialize.01,p,0,p,industrialized,VBN,nations,NNS,NNS,VBN1NP0NNS0,1
123,have.03,v,n,a,have,VB,the,DT,NP,VB1VP1VP1S1SBAR1NP0NP0,0
124,have.03,v,n,a,have,VB,n't,RB,RB,VB1VP1VP0RB0,0
125,have.03,v,n,a,have,VB,a,DT,NP,VB1VP0NP0,1
126,classify.01,p,n,p,classified,VBN,the,DT,NP,VBN1VP1VP1S1SBAR1NP0NP0,0
128,reject.01,p,n,p,rejected,VBN,more,RBR,ADVP-MNR,VBN1VP0ADVP-MNR0,0
129,reject.01,p,n,p,rejected,VBN,More,RBR,NP-SBJ-1,VBN1VP1VP1VP1S-TPC-20NP-SBJ-10,0
130,reject.01,p,n,p,rejected,VBN,by,IN,PP,VBN1VP0PP0,1
131,explain.01,v,p,a,explained,VBD,Dr.,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0
132,explain.01,v,p,a,explained,VBD,More,RBR,S-TPC-2,VBD1VP1S0S-TPC-20,0
133,impose.01,v,p,a,imposed,VBD,In,IN,PP-TMP,VBD1VP1S0PP-TMP0,0
134,impose.01,v,p,a,imposed,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0
135,impose.01,v,p,a,imposed,VBD,a,DT,NP,VBD1VP0NP0,1
136,impose.01,v,p,a,imposed,VBD,on,IN,PP-CLR,VBD1VP0PP-CLR0,1
137,remain.01,p,0,a,remaining,VBG,uses,NNS,NNS,VBG1NP0NNS0,1
138,outlaw.01,p,f,p,outlawed,VBN,By,IN,PP-TMP,VBN1VP1VP1VP1S0PP-TMP0,0
140,outlaw.01,p,f,p,outlawed,VBN,almost,RB,NP-SBJ-6,VBN1VP1VP1VP1S0NP-SBJ-60,0
141,make.01,v,p,a,made,VBD,a,DT,NP,VBD1VP1S1SBAR1NP0NP0,0
142,make.01,v,p,a,made,VBD,paper,NN,NP,VBD1VP0NP0,1
143,expose.01,p,p,p,exposed,VBN,About,IN,NP-SBJ-7,VBN1VP1VP1S0NP-SBJ-70,0
144,expose.01,p,p,p,exposed,VBN,to,TO,PP-DIR,VBN1VP0PP-DIR0,1
145,expose.01,p,p,p,exposed,VBN,in,IN,PP-TMP,VBN1VP0PP-TMP0,1
147,use.01,p,p,p,used,VBN,where,WRB,WHADVP-1,VBN1VP1VP1S1SBAR-20WHADVP-10,0
148,dump.01,v,p,a,dumped,VBD,Workers,NNS,NP-SBJ,VBD1VP1VP1S0NP-SBJ0,0
149,dump.01,v,p,a,dumped,VBD,large,JJ,NP,VBD1VP0NP0,1
151,import.01,p,0,p,imported,VBN,material,NN,NN,VBN1NP0NN0,1
152,pour.01,v,p,a,poured,VBD,Workers,NNS,NP-SBJ,VBD1VP1VP1S0NP-SBJ0,0
154,mix.01,v,p,a,mixed,VBD,Workers,NNS,NP-SBJ,VBD1VP1VP1VP1S0NP-SBJ0,0
155,mix.01,v,p,a,mixed,VBD,mechanically,RB,ADVP-MNR,VBD1VP0ADVP-MNR0,0
156,mix.01,v,p,a,mixed,VBD,the,DT,NP,VBD1VP0NP0,1
158,use.01,p,0,p,used,VBN,a,DT,NP,VBN1VP1RRC1NP0NP0,0
159,use.01,p,0,p,used,VBN,*,-NONE-,S-CLR,VBN1VP0S-CLR0,1
162,describe.01,v,p,a,described,VBD,Workers,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0
164,hang.01,v,p,a,hung,VBD,clouds,NNS,NP,VBD1VP1S1SBAR1NP0NP0,0
165,hang.01,v,p,a,hung,VBD,over,IN,PP-LOC,VBD1VP0PP-LOC0,1
166,hang.01,v,p,a,hung,VBD,even,RB,SBAR-ADV,VBD1VP0SBAR-ADV0,1
170,contract.04,v,p,a,contracted,VBD,asbestos-related,JJ,NP,VBD1VP0NP0,1
171,say.01,v,p,a,said,VBD,There,EX,S-TPC-1,VBD1VP1SINV0S-TPC-10,0
172,say.01,v,p,a,said,VBD,Darrell,NNP,NP-SBJ,VBD1VP1SINV0NP-SBJ0,1
173,have.02,v,n,a,have,VBP,But,CC,CC,VBP1VP1S0CC0,0
174,recognize.01,i,0,a,recognize,VB,have,VBP,VBP,VB1VP1VP1S1VP0VBP0,0
176,recognize.01,i,0,a,recognize,VB,these,DT,S,VB1VP0SBAR0S0,1
177,take.14,v,p,a,took,VBD,these,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0
179,take.14,v,p,a,took,VBD,35,CD,ADVP-TMP,VBD1VP0ADVP-TMP0,1
180,have.03,v,n,a,has,VBZ,It,PRP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0
181,have.03,v,n,a,has,VBZ,no,DT,NP,VBZ1VP0NP0,1
182,continue.01,v,p,a,continued,VBD,Yields,NNS,NP-SBJ-1,VBD1VP1S0NP-SBJ-10,0
183,continue.01,v,p,a,continued,VBD,amid,IN,PP-LOC,VBD1VP0PP-LOC0,1
184,slide.01,i,0,a,slide,VB,Yields,NNS,NP-SBJ-1,VB1VP1VP1S1VP1S0NP-SBJ-10,0
186,expect.01,v,n,a,expect,VBP,further,JJ,NP,VBP1VP0NP0,1
187,track.01,p,0,p,tracked,VBN,the,DT,NP,VBN1VP1NP0NP0,0
190,ease.01,v,p,a,eased,VBD,a,DT,NP-ADV,VBD1VP0NP-ADV0,1
191,ease.01,v,p,a,eased,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1
192,ease.01,v,p,a,eased,VBD,from,IN,PP-DIR,VBD1VP0PP-DIR0,1
193,ease.01,v,p,a,eased,VBD,for,IN,PP-TMP,VBD1VP0PP-TMP0,1
194,end.01,p,0,p,ended,VBD,the,DT,NP,VBD1VP1NP0NP0,0
198,continue.01,v,n,a,continues,VBZ,the,DT,NP-SBJ,VBZ1VP1S0NP-SBJ0,0
199,continue.01,v,n,a,continues,VBZ,for,IN,PP-TMP,VBZ1VP0PP-TMP0,1
200,lengthen.01,v,p,a,lengthened,VBD,Average,JJ,NP-SBJ,VBD1VP1S0NP-SBJ0,0
201,lengthen.01,v,p,a,lengthened,VBD,by,IN,PP-EXT,VBD1VP0PP-EXT0,1
202,lengthen.01,v,p,a,lengthened,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1
205,indicate.01,i,0,a,indicate,VB,declining,VBG,NP,VB1VP0NP0,1
207,decline.01,p,0,a,declining,VBG,interest,NN,NN,VBG1NP0NN0,1
208,permit.01,v,n,a,permit,VBP,they,PRP,NP-SBJ,VBP1VP1S0NP-SBJ0,0
209,permit.01,v,n,a,permit,VBP,portfolio,NN,S,VBP1VP0S0,1
210,retain.01,i,0,a,retain,VB,portfolio,NN,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0
211,retain.01,i,0,a,retain,VB,relatively,RB,NP,VB1VP0NP0,1
212,retain.01,i,0,a,retain,VB,for,IN,PP-TMP,VB1VP0PP-TMP0,1
213,consider.01,p,n,p,considered,VBN,Shorter,JJR,NP-SBJ-9,VBN1VP1VP1S0NP-SBJ-90,0
214,consider.01,p,n,p,considered,VBN,*-9,-NONE-,S,VBN1VP0S0,1
215,consider.01,p,n,p,considered,VBN,because,IN,SBAR-PRP,VBN1VP0SBAR-PRP0,1
217,capture.01,0,0,a,capture,VB,portfolio,NN,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0
219,capture.01,0,0,a,capture,VB,higher,JJR,NP,VB1VP0NP0,1
220,capture.01,0,0,a,capture,VB,sooner,RB,ADVP-TMP,VB1VP0ADVP-TMP0,1
221,consider.01,p,0,p,considered,VBN,The,DT,NP,VBN1VP1RRC1NP-SBJ0NP0,0
222,consider.01,p,0,p,considered,VBN,by,IN,PP,VBN1VP0PP0,1
223,consider.01,p,0,p,considered,VBN,*,-NONE-,S,VBN1VP0S0,1
224,watch.01,v,n,a,watch,VBP,those,DT,NP-SBJ,VBP1VP1S0NP-SBJ0,0
225,watch.01,v,n,a,watch,VBP,the,DT,NP,VBP1VP0NP0,1
226,watch.01,v,n,a,watch,VBP,closely,RB,ADVP-MNR,VBP1VP0ADVP-MNR0,1
227,reach.01,v,p,a,reached,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0
228,reach.01,v,p,a,reached,VBD,a,DT,NP,VBD1VP0NP0,1
229,say.01,v,p,a,said,VBD,Nevertheless,RB,ADVP,VBD1VP1SINV1PRN1S-10ADVP0,0
231,sell.01,p,0,p,sold,VBN,six-month,JJ,NP,VBN1VP1NP0NP0,0
232,sell.01,p,0,p,sold,VBN,at,IN,PP-LOC,VBN1VP0PP-LOC0,1
233,rise.01,v,p,a,rose,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0
234,rise.01,v,p,a,rose,VBD,for,IN,PP,VBD1VP1S0PP0,0
236,rise.01,v,p,a,rose,VBD,from,IN,PP-DIR,VBD1VP0PP-DIR0,1
238,continue.01,v,n,a,continue,VBP,investors,NNS,NP-SBJ-1,VBP1VP1S0NP-SBJ-10,0
239,pour.01,i,0,a,pour,VB,investors,NNS,NP-SBJ-1,VB1VP1VP1S1VP1S0NP-SBJ-10,0
241,pour.01,i,0,a,pour,VB,into,IN,PP-DIR,VB1VP0PP-DIR0,1
242,grow.01,v,p,a,grew,VBD,Assets,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0
243,grow.01,v,p,a,grew,VBD,by,IN,PP-EXT,VBD1VP0PP-EXT0,1
244,grow.01,v,p,a,grew,VBD,during,IN,PP-TMP,VBD1VP0PP-TMP0,1
245,grow.01,v,p,a,grew,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1
246,beat.03,v,n,a,beat,VBP,Typically,RB,ADVP,VBP1VP1S0ADVP0,0
247,beat.03,v,n,a,beat,VBP,money-fund,NN,NP-SBJ,VBP1VP1S0NP-SBJ0,0
248,beat.03,v,n,a,beat,VBP,comparable,JJ,NP,VBP1VP0NP0,1
249,beat.03,v,n,a,beat,VBP,because,IN,SBAR-PRP,VBP1VP0SBAR-PRP0,1
251,vary.01,0,0,a,vary,VB,can,MD,MD,VB1VP1VP1VP0MD0,0
252,vary.01,0,0,a,vary,VB,maturities,NNS,NP,VB1VP0NP0,1
253,go.03,0,0,a,go,VB,portfolio,NN,NP-SBJ,VB1VP1VP1VP1S0NP-SBJ0,0
254,go.03,0,0,a,go,VB,can,MD,MD,VB1VP1VP1VP0MD0,0
255,go.03,0,0,a,go,VB,after,IN,PP-CLR,VB1VP0PP-CLR0,1
256,yield.01,p,0,a,yielding,VBG,The,DT,NP-SBJ,VBG1VP1VP1S0NP-SBJ0,0
258,yield.01,p,0,a,yielding,VBG,well,RB,NP,VBG1VP0NP0,1
259,have.03,v,p,a,had,VBD,Dreyfus,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0
260,have.03,v,p,a,had,VBD,a,DT,NP,VBD1VP0NP0,1
262,have.03,v,p,a,had,VBD,down,RB,ADVP,VBD1VP0ADVP0,1
264,invest.01,v,n,a,invests,VBZ,heavily,RB,ADVP-MNR,VBZ1VP0ADVP-MNR0,1
265,invest.01,v,n,a,invests,VBZ,in,IN,PP-CLR,VBZ1VP0PP-CLR0,1
266,invest.01,v,n,a,invests,VBZ,overseas,RB,ADVP-LOC,VBZ1VP0ADVP-LOC0,1
268,waive.01,p,n,a,waiving,VBG,currently,RB,ADVP-TMP,VBG1VP1VP1VP0ADVP-TMP0,0
269,waive.01,p,n,a,waiving,VBG,management,NN,NP,VBG1VP0NP0,1
270,waive.01,p,n,a,waiving,VBG,which,WDT,SBAR-ADV,VBG1VP1VP0SBAR-ADV0,1
271,boost.01,v,n,a,boosts,VBZ,which,WDT,WHNP-9,VBZ1VP1S1SBAR-ADV0WHNP-90,0
272,boost.01,v,n,a,boosts,VBZ,its,PRP$,NP,VBZ1VP0NP0,1
273,fall.01,v,p,a,fell,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0
274,fall.01,v,p,a,fell,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1
275,fall.01,v,p,a,fell,VBD,from,IN,PP-DIR,VBD1VP0PP-DIR0,1
277,slide.02,v,p,a,slid,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1
278,slide.02,v,p,a,slid,VBD,from,IN,PP-DIR,VBD1VP0PP-DIR0,1
279,hold.01,v,n,a,holds,VBZ,W.R.,NNP,NP,VBZ1VP1S1SBAR1NP0NP0,0
280,hold.01,v,n,a,holds,VBZ,a,DT,NP,VBZ1VP0NP0,1
281,elect.01,p,p,p,elected,VBN,J.P.,NNP,NP-SBJ-10,VBN1VP1VP1S0NP-SBJ-100,0
283,succeed.02,v,n,a,succeeds,VBZ,He,PRP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0
284,succeed.02,v,n,a,succeeds,VBZ,Terrence,NNP,NP,VBZ1VP0NP0,1
285,resign.XX,v,p,a,resigned,VBD,formerly,RB,NP,VBD1VP1S1SBAR1NP0NP0,0
286,hold.01,v,n,a,holds,VBZ,W.R.,NNP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0
287,hold.01,v,n,a,holds,VBZ,three,CD,NP,VBZ1VP0NP0,1
288,say.01,v,p,a,said,VBD,Pacific,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0
289,say.01,v,p,a,said,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1
290,approve.01,v,p,a,approved,VBD,shareholders,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0
291,approve.01,v,p,a,approved,VBD,its,PRP$,NP,VBD1VP0NP0,1
292,hold.01,p,0,a,holding,VBG,thrift,NN,NN,VBG1NP-SBJ0NN0,0
293,hold.01,p,0,a,holding,VBG,company,NN,NN,VBG1NP-SBJ0NN0,1
294,say.01,v,p,a,said,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0
295,say.01,v,p,a,said,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1
296,expect.01,v,n,a,expects,VBZ,it,PRP,NP-SBJ-1,VBZ1VP1S0NP-SBJ-10,0
297,expect.01,v,n,a,expects,VBZ,*-1,-NONE-,S,VBZ1VP0S0,1
300,obtain.01,i,0,a,obtain,VB,by,IN,PP-TMP,VB1VP1VP0PP-TMP0,1
301,complete.01,i,0,a,complete,VB,it,PRP,NP-SBJ-1,VB1VP1VP1VP1S1VP1S0NP-SBJ-10,0
302,complete.01,i,0,a,complete,VB,the,DT,NP,VB1VP0NP0,1
303,complete.01,i,0,a,complete,VB,by,IN,PP-TMP,VB1VP1VP0PP-TMP0,1
304,say.01,v,p,a,said,VBD,McDermott,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0
305,say.01,v,p,a,said,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1
306,complete.01,v,p,a,completed,VBD,its,PRP$,NP-SBJ,VBD1VP1S0NP-SBJ0,0
307,complete.01,v,p,a,completed,VBD,the,DT,NP,VBD1VP0NP0,1
308,hold.01,p,0,a,holding,VBG,company,NN,NN,VBG1NP0NN0,1
310,base.01,p,0,p,based,VBN,in,IN,PP-LOC-CLR,VBN1VP0PP-LOC-CLR0,1
311,make.01,v,n,a,makes,VBZ,Bailey,NNP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0
312,make.01,v,n,a,makes,VBZ,computerized,JJ,NP,VBZ1VP0NP0,1
314,employ.01,v,n,a,employs,VBZ,2700,CD,NP,VBZ1VP0NP0,1
315,have.03,v,n,a,has,VBZ,It,PRP,NP-SBJ,VBZ1VP1VP1S0NP-SBJ0,0
317,suspend.01,v,p,a,suspended,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0
318,suspend.01,v,p,a,suspended,VBD,sales,NNS,NP,VBD1VP0NP0,1
319,suspend.01,v,p,a,suspended,VBD,because,IN,SBAR-PRP,VBD1VP0SBAR-PRP0,1
320,lift.01,p,n,a,lifted,VBN,Congress,NNP,NP-SBJ,VBN1VP1VP1S0NP-SBJ0,0
321,lift.01,p,n,a,lifted,VBN,n't,RB,RB,VBN1VP1VP0RB0,0
324,have.03,v,n,a,has,VBZ,Until,IN,SBAR-TMP,VBZ1VP1S-TPC-10SBAR-TMP0,0
325,have.03,v,n,a,has,VBZ,the,DT,NP-SBJ,VBZ1VP1S-TPC-10NP-SBJ0,0
326,have.03,v,n,a,has,VBZ,n't,RB,RB,VBZ1VP0RB0,1
327,have.03,v,n,a,has,VBZ,any,DT,NP,VBZ1VP0NP0,1
329,issue.01,i,0,a,issue,VB,new,JJ,NP,VB1VP0NP0,1
330,say.01,v,p,a,said,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0
331,say.01,v,p,a,said,VBD,Until,IN,S-TPC-1,VBD1VP1S0S-TPC-10,0
333,drop.01,v,p,a,dropped,VBD,at,IN,PP-TMP,VBD1VP0PP-TMP0,1
334,drop.01,v,p,a,dropped,VBD,Tuesday,NNP,NP-TMP,VBD1VP0NP-TMP0,1
336,drop.01,v,p,a,dropped,VBD,from,IN,PP-DIR,VBD1VP0PP-DIR0,1
338,lift.01,i,0,a,lift,VB,the,DT,NP,VB1VP0NP0,1
339,ensnarl.01,p,n,p,ensnarled,VBN,Legislation,NN,NP-SBJ-11,VBN1VP1VP1S0NP-SBJ-110,0
340,ensnarl.01,p,n,p,ensnarled,VBN,in,IN,PP-LOC-CLR,VBN1VP0PP-LOC-CLR0,1
341,cut.02,g,0,0,cutting,VBG,*,-NONE-,-NONE-,VBG1VP1S-NOM0NP-SBJ0-NONE-0,0
342,cut.02,g,0,0,cutting,VBG,capital-gains,JJ,NP,VBG1VP0NP0,1
