Index,Predicate,V POS,Head Word,Head Word POS,Phrase type,Path,Relative Position,Target
46,talking,VBG,We,PRP,NP-SBJ,VBG1VP1VP1S0NP-SBJ0,0,ARG0
47,talking,VBG,about,IN,PP-CLR,VBG1VP0PP-CLR0,1,ARG1-about
48,heard,VBD,anyone,NN,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
49,heard,VBD,of,IN,PP-CLR,VBD1VP0PP-CLR0,1,ARG1-of
50,having,VBG,asbestos,NN,NP-SBJ,VBG1VP1S-NOM0NP-SBJ0,0,ARG0
51,having,VBG,any,DT,NP,VBG1VP0NP0,1,ARG1
52,studied,VBD,the,DT,NP,VBD1VP1S1SBAR1NP0NP0,0,ARG0
53,studied,VBD,the,DT,NP,VBD1VP0NP0,1,ARG1
54,have,VBP,We,PRP,NP-SBJ,VBP1VP1S-TPC-10NP-SBJ0,0,ARG0
55,have,VBP,no,DT,NP,VBP1VP0NP0,1,ARG1
56,said,VBD,We,PRP,S-TPC-1,VBD1VP1SINV0S-TPC-10,0,ARG1
57,said,VBD,James,NNP,NP-SBJ,VBD1VP1SINV0NP-SBJ0,1,ARG0
58,led,VBD,Dr.,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
59,led,VBD,a,DT,NP,VBD1VP0NP0,1,ARG1
60,said,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
61,said,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1,ARG1
62,used,VBN,asbestos,NN,NP-SBJ-1,VBN1VP1VP1VP1S0NP-SBJ-10,0,ARG1
63,used,VBN,in,IN,PP-CLR,VBN1VP0PP-CLR0,1,ARGM-MNR
64,used,VBN,in,IN,PP-LOC,VBN1VP0PP-LOC0,1,ARG2-in
65,used,VBN,in,IN,PP-TMP,VBN1VP0PP-TMP0,1,ARGM-TMP
66,making,VBG,*,-NONE-,NP-SBJ,VBG1VP1S-NOM0NP-SBJ0,0,ARG0
67,making,VBG,paper,NN,NP,VBG1VP0NP0,1,ARG1
68,replaced,VBN,asbestos,NN,NP-SBJ-1,VBN1VP1VP1VP1S0NP-SBJ-10,0,ARG1
69,replaced,VBN,with,IN,PP,VBN1VP0PP0,1,ARG2-with
70,replaced,VBN,in,IN,PP-TMP,VBN1VP0PP-TMP0,1,ARGM-TMP
71,sold,VBN,9.8,CD,NP-SBJ-3,VBN1VP1VP1S-TPC-10NP-SBJ-30,0,ARG1
72,said,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
73,said,VBD,From,IN,S-TPC-1,VBD1VP1S0S-TPC-10,0,ARG1
74,worked,VBD,33,CD,NP,VBD1VP1S1SBAR1NP0NP0,0,ARG0
75,worked,VBD,closely,RB,ADVP-MNR,VBD1VP0ADVP-MNR0,1,ARGM-MNR
76,worked,VBD,with,IN,PP-CLR,VBD1VP0PP-CLR0,1,ARG1-with
77,died,VBN,Among,IN,PP-LOC,VBN1VP1VP1S0PP-LOC0,0,ARGM-LOC
78,died,VBN,28,CD,NP-SBJ,VBN1VP1VP1S0NP-SBJ0,0,ARG1
79,expected,VBN,number,NN,NN,VBN1NP-10NN0,1,ARG1
80,surviving,VBG,workers,NNS,NNS,VBG1NP0NNS0,1,ARG0
81,have,VBP,Four,CD,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG0
82,have,VBP,asbestos-related,JJ,NP,VBP1VP0NP0,1,ARG1
83,have,VBP,including,VBG,PP,VBP1VP0PP0,1,ARGM-ADV
84,including,VBG,asbestos-related,JJ,NP,VBG1PP1VP0NP0,0,ARG2
85,including,VBG,three,CD,NP,VBG1PP0NP0,1,ARG1
86,diagnosed,VBN,recently,RB,RB,VBN1ADJP0RB0,0,ARGM-TMP
87,diagnosed,VBN,cancer,NN,NN,VBN1ADJP1NP0NN0,1,ARG2
88,expected,VBN,*,-NONE-,NP-SBJ,VBN1VP1S0NP-SBJ0,0,ARG0
89,expected,VBN,*?*,-NONE-,S,VBN1VP0S0,1,ARG1
90,said,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
91,said,VBD,The,DT,S-TPC-1,VBD1VP1S0S-TPC-10,0,ARG1
92,study,VBP,those,DT,NP,VBP1VP1S1SBAR1NP0NP0,0,ARG0
93,study,VBP,asbestos-related,JJ,NP,VBP1VP0NP0,1,ARG1
94,said,VBD,The,DT,S-TPC-1,VBD1VP1SINV0S-TPC-10,0,ARG1
95,said,VBD,Dr.,NNP,NP-SBJ,VBD1VP1SINV0NP-SBJ0,1,ARG0
96,appears,VBZ,The,DT,NP-SBJ-1,VBZ1VP1S-TPC-20NP-SBJ-10,0,ARG1
97,studied,VBN,any,DT,NP,VBN1VP1RRC1NP0NP0,0,ARG1
98,studied,VBN,in,IN,PP-LOC,VBN1VP0PP-LOC0,1,ARGM-LOC
99,industrialized,VBN,countries,NNS,NNS,VBN1NP0NNS0,1,ARG1
100,said,VBD,he,PRP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
101,said,VBD,The,DT,S-TPC-2,VBD1VP1S0S-TPC-20,0,ARG1
102,owned,VBN,The,DT,NP,VBN1VP1VP1S1SBAR1NP-SBJ0NP0,0,ARG1
103,owned,VBN,by,IN,PP,VBN1VP0PP0,1,ARG0-by
104,make,VB,The,DT,NP-SBJ,VB1VP1VP1S-21NP1PP-LOC-PRD1VP1S0NP-SBJ0,0,ARG0
105,make,VB,the,DT,NP,VB1VP0NP0,1,ARG1
106,support,VB,The,DT,NP-SBJ,VB1VP1VP1S-TPC-10NP-SBJ0,0,ARG0
107,support,VB,probably,RB,ADVP,VB1VP1VP1S-TPC-10ADVP0,0,ARGM-ADV
108,support,VB,will,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
109,support,VB,those,DT,NP,VB1VP0NP0,1,ARG1
110,argue,VBP,those,DT,NP,VBP1VP1S1SBAR1NP0NP0,0,ARG0
111,argue,VBP,that,IN,SBAR,VBP1VP0SBAR0,1,ARG1
112,regulate,VB,the,DT,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG0
113,regulate,VB,should,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
114,regulate,VB,the,DT,NP,VB1VP0NP0,1,ARG1
115,regulate,VB,more,RBR,ADVP-MNR,VB1VP0ADVP-MNR0,1,ARGM-MNR
116,including,VBG,the,DT,NP,VBG1PP1NP0NP0,0,ARG2
117,including,VBG,crocidolite,NN,NP,VBG1PP0NP0,1,ARG1
118,found,VBN,the,DT,NP,VBN1VP1NP0NP0,0,ARG1
119,found,VBN,in,IN,PP-LOC-CLR,VBN1VP0PP-LOC-CLR0,1,ARGM-LOC
120,said,VBD,Dr.,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
121,said,VBD,The,DT,S-TPC-1,VBD1VP1S0S-TPC-10,0,ARG1
122,industrialized,VBN,nations,NNS,NNS,VBN1NP0NNS0,1,ARG1
123,have,VB,the,DT,NP,VB1VP1VP1S1SBAR1NP0NP0,0,ARG0
124,have,VB,n't,RB,RB,VB1VP1VP0RB0,0,ARGM-NEG
125,have,VB,a,DT,NP,VB1VP0NP0,1,ARG1
126,classified,VBN,the,DT,NP,VBN1VP1VP1S1SBAR1NP0NP0,0,ARG1
127,classified,VBN,as,IN,PP-CLR,VBN1VP0PP-CLR0,1,ARG2-as
128,rejected,VBN,more,RBR,ADVP-MNR,VBN1VP0ADVP-MNR0,0,ARGM-MNR
129,rejected,VBN,More,RBR,NP-SBJ-1,VBN1VP1VP1VP1S-TPC-20NP-SBJ-10,0,ARG1
130,rejected,VBN,by,IN,PP,VBN1VP0PP0,1,ARG0-by
131,explained,VBD,Dr.,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
132,explained,VBD,More,RBR,S-TPC-2,VBD1VP1S0S-TPC-20,0,ARG1
133,imposed,VBD,In,IN,PP-TMP,VBD1VP1S0PP-TMP0,0,ARGM-TMP
134,imposed,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
135,imposed,VBD,a,DT,NP,VBD1VP0NP0,1,ARG1
136,imposed,VBD,on,IN,PP-CLR,VBD1VP0PP-CLR0,1,ARG2-on
137,remaining,VBG,uses,NNS,NNS,VBG1NP0NNS0,1,ARG1
138,outlawed,VBN,By,IN,PP-TMP,VBN1VP1VP1VP1S0PP-TMP0,0,ARGM-TMP
139,outlawed,VBN,will,MD,MD,VBN1VP1VP1VP0MD0,0,ARGM-MOD
140,outlawed,VBN,almost,RB,NP-SBJ-6,VBN1VP1VP1VP1S0NP-SBJ-60,0,ARG1
141,made,VBD,a,DT,NP,VBD1VP1S1SBAR1NP0NP0,0,ARG0
142,made,VBD,paper,NN,NP,VBD1VP0NP0,1,ARG1
143,exposed,VBN,About,IN,NP-SBJ-7,VBN1VP1VP1S0NP-SBJ-70,0,ARG1
144,exposed,VBN,to,TO,PP-DIR,VBN1VP0PP-DIR0,1,ARG2-to
145,exposed,VBN,in,IN,PP-TMP,VBN1VP0PP-TMP0,1,ARGM-TMP
146,used,VBN,the,DT,NP-SBJ-8,VBN1VP1VP1S0NP-SBJ-80,0,ARG1
147,used,VBN,where,WRB,WHADVP-1,VBN1VP1VP1S1SBAR-20WHADVP-10,0,ARGM-LOC
148,dumped,VBD,Workers,NNS,NP-SBJ,VBD1VP1VP1S0NP-SBJ0,0,ARG0
149,dumped,VBD,large,JJ,NP,VBD1VP0NP0,1,ARG1
150,dumped,VBD,into,IN,PP-DIR,VBD1VP0PP-DIR0,1,ARGM-DIR
151,imported,VBN,material,NN,NN,VBN1NP0NN0,1,ARG1
152,poured,VBD,Workers,NNS,NP-SBJ,VBD1VP1VP1S0NP-SBJ0,0,ARG0
153,poured,VBD,cotton,NN,NP,VBD1VP0NP0,1,ARG1
154,mixed,VBD,Workers,NNS,NP-SBJ,VBD1VP1VP1VP1S0NP-SBJ0,0,ARG0
155,mixed,VBD,mechanically,RB,ADVP-MNR,VBD1VP0ADVP-MNR0,0,ARGM-MNR
156,mixed,VBD,the,DT,NP,VBD1VP0NP0,1,ARG1
157,mixed,VBD,in,IN,PP-LOC,VBD1VP0PP-LOC0,1,ARGM-LOC
158,used,VBN,a,DT,NP,VBN1VP1RRC1NP0NP0,0,ARG1
159,used,VBN,*,-NONE-,S-CLR,VBN1VP0S-CLR0,1,ARG2-PNC
160,make,VB,*,-NONE-,-NONE-,VB1VP1VP1S-CLR0NP-SBJ0-NONE-0,0,ARG0
161,make,VB,filters,NNS,NP,VB1VP0NP0,1,ARG1
162,described,VBD,Workers,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
163,described,VBD,``,``,NP,VBD1VP0NP0,1,ARG1
164,hung,VBD,clouds,NNS,NP,VBD1VP1S1SBAR1NP0NP0,0,ARG1
165,hung,VBD,over,IN,PP-LOC,VBD1VP0PP-LOC0,1,ARGM-LOC
166,hung,VBD,even,RB,SBAR-ADV,VBD1VP0SBAR-ADV0,1,ARGM-ADV
167,ventilated,VBD,exhaust,NN,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
168,ventilated,VBD,the,DT,NP,VBD1VP0NP0,1,ARG1
169,contracted,VBD,some,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
170,contracted,VBD,asbestos-related,JJ,NP,VBD1VP0NP0,1,ARG2
171,said,VBD,There,EX,S-TPC-1,VBD1VP1SINV0S-TPC-10,0,ARG1
172,said,VBD,Darrell,NNP,NP-SBJ,VBD1VP1SINV0NP-SBJ0,1,ARG0
173,have,VBP,But,CC,CC,VBP1VP1S0CC0,0,ARGM-DIS
174,recognize,VB,have,VBP,VBP,VB1VP1VP1S1VP0VBP0,0,ARGM-MOD
175,recognize,VB,you,PRP,NP-SBJ-1,VB1VP1VP1S1VP1S0NP-SBJ-10,0,ARG0
176,recognize,VB,these,DT,S,VB1VP0SBAR0S0,1,ARG1
177,took,VBD,these,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
178,took,VBD,place,NN,NP,VBD1VP0NP0,1,ARG2
179,took,VBD,35,CD,ADVP-TMP,VBD1VP0ADVP-TMP0,1,ARGM-TMP
180,has,VBZ,It,PRP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0,ARG0
181,has,VBZ,no,DT,NP,VBZ1VP0NP0,1,ARG1
182,continued,VBD,Yields,NNS,NP-SBJ-1,VBD1VP1S0NP-SBJ-10,0,ARG1
183,continued,VBD,amid,IN,PP-LOC,VBD1VP0PP-LOC0,1,ARGM-MNR
184,slide,VB,Yields,NNS,NP-SBJ-1,VB1VP1VP1S1VP1S0NP-SBJ-10,0,ARG1
185,expect,VBP,portfolio,NN,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG0
186,expect,VBP,further,JJ,NP,VBP1VP0NP0,1,ARG1
187,tracked,VBN,the,DT,NP,VBN1VP1NP0NP0,0,ARG1
188,tracked,VBN,by,IN,PP,VBN1VP0PP0,1,ARG0-by
189,eased,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
190,eased,VBD,a,DT,NP-ADV,VBD1VP0NP-ADV0,1,ARG2-EXT
191,eased,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
192,eased,VBD,from,IN,PP-DIR,VBD1VP0PP-DIR0,1,ARG3-from
193,eased,VBD,for,IN,PP-TMP,VBD1VP0PP-TMP0,1,ARGM-TMP
194,ended,VBD,the,DT,NP,VBD1VP1NP0NP0,0,ARG1
195,ended,VBD,Tuesday,NNP,NP-TMP,VBD1VP0NP-TMP0,1,ARGM-TMP
196,assume,VBP,Compound,NN,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG0
197,assume,VBP,reinvestment,NN,UCP,VBP1VP0UCP0,1,ARG1
198,continues,VBZ,the,DT,NP-SBJ,VBZ1VP1S0NP-SBJ0,0,ARG1
199,continues,VBZ,for,IN,PP-TMP,VBZ1VP0PP-TMP0,1,ARGM-TMP
200,lengthened,VBD,Average,JJ,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
201,lengthened,VBD,by,IN,PP-EXT,VBD1VP0PP-EXT0,1,ARG2-by
202,lengthened,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
203,thought,VBN,Longer,JJR,NP-SBJ-1,VBN1VP1VP1S0NP-SBJ-10,0,ARG1
204,indicate,VB,Longer,JJR,NP-SBJ-1,VB1VP1VP1S1VP1VP1S0NP-SBJ-10,0,ARG0
205,indicate,VB,declining,VBG,NP,VB1VP0NP0,1,ARG1
206,indicate,VB,because,IN,SBAR-PRP,VB1VP0SBAR-PRP0,1,ARGM-CAU
207,declining,VBG,interest,NN,NN,VBG1NP0NN0,1,ARG1
208,permit,VBP,they,PRP,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG0
209,permit,VBP,portfolio,NN,S,VBP1VP0S0,1,ARG1
210,retain,VB,portfolio,NN,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG0
211,retain,VB,relatively,RB,NP,VB1VP0NP0,1,ARG1
212,retain,VB,for,IN,PP-TMP,VB1VP0PP-TMP0,1,ARGM-TMP
213,considered,VBN,Shorter,JJR,NP-SBJ-9,VBN1VP1VP1S0NP-SBJ-90,0,ARG1
214,considered,VBN,*-9,-NONE-,S,VBN1VP0S0,1,ARG2
215,considered,VBN,because,IN,SBAR-PRP,VBN1VP0SBAR-PRP0,1,ARGM-CAU
216,rising,VBG,rates,NNS,NNS,VBG1NP0NNS0,1,ARG1
217,capture,VB,portfolio,NN,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG0
218,capture,VB,can,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
219,capture,VB,higher,JJR,NP,VB1VP0NP0,1,ARG1
220,capture,VB,sooner,RB,ADVP-TMP,VB1VP0ADVP-TMP0,1,ARGM-TMP
221,considered,VBN,The,DT,NP,VBN1VP1RRC1NP-SBJ0NP0,0,ARG1
222,considered,VBN,by,IN,PP,VBN1VP0PP0,1,ARG0-by
223,considered,VBN,*,-NONE-,S,VBN1VP0S0,1,ARG2
224,watch,VBP,those,DT,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG0
225,watch,VBP,the,DT,NP,VBP1VP0NP0,1,ARG1
226,watch,VBP,closely,RB,ADVP-MNR,VBP1VP0ADVP-MNR0,1,ARGM-MNR
227,reached,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
228,reached,VBD,a,DT,NP,VBD1VP0NP0,1,ARG1
229,said,VBD,Nevertheless,RB,ADVP,VBD1VP1SINV1PRN1S-10ADVP0,0,ARG1
230,said,VBD,Brenda,NNP,NP-SBJ,VBD1VP1SINV0NP-SBJ0,1,ARG0
231,sold,VBN,six-month,JJ,NP,VBN1VP1NP0NP0,0,ARG1
232,sold,VBN,at,IN,PP-LOC,VBN1VP0PP-LOC0,1,ARGM-LOC
233,rose,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
234,rose,VBD,for,IN,PP,VBD1VP1S0PP0,0,ARGM-DIS
235,rose,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
236,rose,VBD,from,IN,PP-DIR,VBD1VP0PP-DIR0,1,ARG3-from
237,continue,VBP,Despite,IN,PP,VBP1VP1S0PP0,0,ARGM-ADV
238,continue,VBP,investors,NNS,NP-SBJ-1,VBP1VP1S0NP-SBJ-10,0,ARG1
239,pour,VB,investors,NNS,NP-SBJ-1,VB1VP1VP1S1VP1S0NP-SBJ-10,0,ARG0
240,pour,VB,cash,NN,NP,VB1VP0NP0,1,ARG1
241,pour,VB,into,IN,PP-DIR,VB1VP0PP-DIR0,1,ARG3-into
242,grew,VBD,Assets,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
243,grew,VBD,by,IN,PP-EXT,VBD1VP0PP-EXT0,1,ARG2-by
244,grew,VBD,during,IN,PP-TMP,VBD1VP0PP-TMP0,1,ARGM-TMP
245,grew,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
246,beat,VBP,Typically,RB,ADVP,VBP1VP1S0ADVP0,0,ARGM-TMP
247,beat,VBP,money-fund,NN,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG0
248,beat,VBP,comparable,JJ,NP,VBP1VP0NP0,1,ARG1
249,beat,VBP,because,IN,SBAR-PRP,VBP1VP0SBAR-PRP0,1,ARGM-CAU
250,vary,VB,portfolio,NN,NP-SBJ,VB1VP1VP1VP1S0NP-SBJ0,0,ARG0
251,vary,VB,can,MD,MD,VB1VP1VP1VP0MD0,0,ARGM-MOD
252,vary,VB,maturities,NNS,NP,VB1VP0NP0,1,ARG1
253,go,VB,portfolio,NN,NP-SBJ,VB1VP1VP1VP1S0NP-SBJ0,0,ARG0
254,go,VB,can,MD,MD,VB1VP1VP1VP0MD0,0,ARGM-MOD
255,go,VB,after,IN,PP-CLR,VB1VP0PP-CLR0,1,ARG1-after
256,yielding,VBG,The,DT,NP-SBJ,VBG1VP1VP1S0NP-SBJ0,0,ARG0
257,yielding,VBG,currently,RB,ADVP-TMP,VBG1VP1VP0ADVP-TMP0,0,ARGM-TMP
258,yielding,VBG,well,RB,NP,VBG1VP0NP0,1,ARG1
259,had,VBD,Dreyfus,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
260,had,VBD,a,DT,NP,VBD1VP0NP0,1,ARG1
261,had,VBD,during,IN,PP-TMP,VBD1VP0PP-TMP0,1,ARGM-TMP
262,had,VBD,down,RB,ADVP,VBD1VP0ADVP0,1,ARGM-ADV
263,invests,VBZ,It,PRP,NP-SBJ,VBZ1VP1VP1S0NP-SBJ0,0,ARG0
264,invests,VBZ,heavily,RB,ADVP-MNR,VBZ1VP0ADVP-MNR0,1,ARGM-MNR
265,invests,VBZ,in,IN,PP-CLR,VBZ1VP0PP-CLR0,1,ARG2-in
266,invests,VBZ,overseas,RB,ADVP-LOC,VBZ1VP0ADVP-LOC0,1,ARGM-LOC
267,waiving,VBG,It,PRP,NP-SBJ,VBG1VP1VP1VP1VP1S0NP-SBJ0,0,ARG0
268,waiving,VBG,currently,RB,ADVP-TMP,VBG1VP1VP1VP0ADVP-TMP0,0,ARGM-TMP
269,waiving,VBG,management,NN,NP,VBG1VP0NP0,1,ARG1
270,waiving,VBG,which,WDT,SBAR-ADV,VBG1VP1VP0SBAR-ADV0,1,ARGM-ADV
271,boosts,VBZ,which,WDT,WHNP-9,VBZ1VP1S1SBAR-ADV0WHNP-90,0,ARG0
272,boosts,VBZ,its,PRP$,NP,VBZ1VP0NP0,1,ARG1
273,fell,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
274,fell,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
275,fell,VBD,from,IN,PP-DIR,VBD1VP0PP-DIR0,1,ARG3-from
276,slid,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
277,slid,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
278,slid,VBD,from,IN,PP-DIR,VBD1VP0PP-DIR0,1,ARG3-from
279,holds,VBZ,W.R.,NNP,NP,VBZ1VP1S1SBAR1NP0NP0,0,ARG0
280,holds,VBZ,a,DT,NP,VBZ1VP0NP0,1,ARG1
281,elected,VBN,J.P.,NNP,NP-SBJ-10,VBN1VP1VP1S0NP-SBJ-100,0,ARG1
282,elected,VBN,a,DT,NP-PRD,VBN1VP0S0NP-PRD0,1,ARG2
283,succeeds,VBZ,He,PRP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0,ARG0
284,succeeds,VBZ,Terrence,NNP,NP,VBZ1VP0NP0,1,ARG1
285,resigned,VBD,formerly,RB,NP,VBD1VP1S1SBAR1NP0NP0,0,ARG0
286,holds,VBZ,W.R.,NNP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0,ARG0
287,holds,VBZ,three,CD,NP,VBZ1VP0NP0,1,ARG1
288,said,VBD,Pacific,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
289,said,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1,ARG1
290,approved,VBD,shareholders,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
291,approved,VBD,its,PRP$,NP,VBD1VP0NP0,1,ARG1
292,holding,VBG,thrift,NN,NN,VBG1NP-SBJ0NN0,0,ARG1
293,holding,VBG,company,NN,NN,VBG1NP-SBJ0NN0,1,ARG0
294,said,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
295,said,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1,ARG1
296,expects,VBZ,it,PRP,NP-SBJ-1,VBZ1VP1S0NP-SBJ-10,0,ARG0
297,expects,VBZ,*-1,-NONE-,S,VBZ1VP0S0,1,ARG1
298,obtain,VB,it,PRP,NP-SBJ-1,VB1VP1VP1VP1S1VP1S0NP-SBJ-10,0,ARG0
299,obtain,VB,regulatory,JJ,NP,VB1VP0NP0,1,ARG1
300,obtain,VB,by,IN,PP-TMP,VB1VP1VP0PP-TMP0,1,ARGM-TMP
301,complete,VB,it,PRP,NP-SBJ-1,VB1VP1VP1VP1S1VP1S0NP-SBJ-10,0,ARG0
